Order ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,CustomerID,OrderDate,IsReturned,SalesKey,ShipDate,PriorityKey,GeoKey,ShipModeID
"CA-2014-146780","FUR-FU-10001934",41.959999084472656,2,0,10.909600257873535,4.179999828338623,"CV-12805",2014-12-26 00:00:00.000,"No",30169,2014-12-31 00:00:00.000,1,1,4
"CA-2013-138520","OFF-EN-10001137",8.2600002288818359,2,0,3.7995998859405518,0.68999999761581421,"JL-15505",2013-04-09 00:00:00.000,"No",30410,2013-04-14 00:00:00.000,1,1,4
"CA-2014-144904","OFF-LA-10001158",20.700000762939453,2,0,9.935999870300293,0.74000000953674316,"KW-16435",2014-09-26 00:00:00.000,"No",30416,2014-10-02 00:00:00.000,1,1,4
"CA-2014-144904","OFF-AR-10003732",5.559999942779541,2,0,1.4456000328063965,0.41999998688697815,"KW-16435",2014-09-26 00:00:00.000,"No",30418,2014-10-02 00:00:00.000,1,1,4
"CA-2013-123274","FUR-FU-10004090",44.459999084472656,2,0,14.671799659729004,3.9700000286102295,"GT-14710",2013-02-19 00:00:00.000,"No",30908,2013-02-24 00:00:00.000,1,1,4
"CA-2011-125612","OFF-PA-10001019",39.959999084472656,2,0,18.781200408935547,3.7699999809265137,"BK-11260",2011-08-03 00:00:00.000,"No",30910,2011-08-08 00:00:00.000,1,1,4
"CA-2011-125612","OFF-ST-10003221",21.360000610351563,2,0,5.7671999931335449,1.3899999856948853,"BK-11260",2011-08-03 00:00:00.000,"No",30912,2011-08-08 00:00:00.000,1,1,4
"CA-2011-148488","OFF-PA-10004470",11.359999656677246,2,0,5.2255997657775879,0.79000002145767212,"SM-20005",2011-12-10 00:00:00.000,"No",30927,2011-12-15 00:00:00.000,1,1,4
"CA-2012-110667","OFF-AR-10000716",11.159999847412109,2,0,4.3523998260498047,0.20000000298023224,"NF-18595",2012-04-04 00:00:00.000,"No",31108,2012-04-08 00:00:00.000,1,1,4
"CA-2012-110667","FUR-FU-10004622",108.40000152587891,2,0,22.763999938964844,6.5799999237060547,"NF-18595",2012-04-04 00:00:00.000,"No",31109,2012-04-08 00:00:00.000,1,1,4
"CA-2014-115602","OFF-AR-10000462",3.2000000476837158,2,0,1.3760000467300415,0.18000000715255737,"DJ-13630",2014-12-19 00:00:00.000,"No",31306,2014-12-25 00:00:00.000,1,1,4
"CA-2013-154711","FUR-FU-10000397",39.880001068115234,2,0,11.166399955749512,1.8600000143051147,"TB-21355",2013-11-23 00:00:00.000,"No",31342,2013-11-27 00:00:00.000,1,1,4
"CA-2013-130407","OFF-AR-10002240",75.4800033569336,2,0,19.624799728393555,6.679999828338623,"KD-16270",2013-09-03 00:00:00.000,"No",31456,2013-09-07 00:00:00.000,1,1,4
"CA-2013-130407","FUR-FU-10001967",39.979999542236328,2,0,9.994999885559082,3.0099999904632568,"KD-16270",2013-09-03 00:00:00.000,"No",31457,2013-09-07 00:00:00.000,1,1,4
"CA-2011-119032","OFF-FA-10003021",3.7599999904632568,2,0,1.3159999847412109,0.25,"MS-17770",2011-11-27 00:00:00.000,"No",31534,2011-12-03 00:00:00.000,1,1,4
"CA-2013-140501","OFF-FA-10004076",3.9600000381469727,2,0,1.4651999473571777,0.37000000476837158,"IM-15070",2013-06-24 00:00:00.000,"No",32135,2013-06-29 00:00:00.000,1,1,4
"CA-2012-137897","TEC-AC-10002217",37.599998474121094,2,0,2.25600004196167,2.2599999904632568,"PJ-18835",2012-11-14 00:00:00.000,"No",32441,2012-11-19 00:00:00.000,1,1,4
"CA-2012-137897","TEC-AC-10001267",59.900001525878906,2,0,23.959999084472656,4.4000000953674316,"PJ-18835",2012-11-14 00:00:00.000,"No",32442,2012-11-19 00:00:00.000,1,1,4
"CA-2014-108553","OFF-AP-10000026",121.94000244140625,2,0,35.362598419189453,8.4799995422363281,"SK-19990",2014-04-24 00:00:00.000,"No",32646,2014-04-30 00:00:00.000,1,1,4
"CA-2014-123372","OFF-EN-10003055",79.959999084472656,2,0,35.981998443603516,6.75,"DG-13300",2014-11-29 00:00:00.000,"No",32708,2014-12-03 00:00:00.000,1,1,4
"CA-2014-105235","FUR-FU-10000521",58.680000305175781,2,0,18.190799713134766,4.1399998664855957,"SM-20950",2014-12-06 00:00:00.000,"No",33226,2014-12-12 00:00:00.000,1,1,4
"CA-2014-118521","OFF-PA-10003465",37.939998626708984,2,0,18.211200714111328,3.8599998950958252,"LF-17185",2014-02-17 00:00:00.000,"No",33826,2014-02-21 00:00:00.000,1,1,4
"CA-2014-141873","OFF-PA-10000069",18.979999542236328,2,0,8.9205999374389648,1.2999999523162842,"HG-14845",2014-10-10 00:00:00.000,"No",33868,2014-10-15 00:00:00.000,1,1,4
"CA-2014-117863","FUR-FU-10002456",14.5600004196167,2,0,6.2607998847961426,1.1599999666213989,"TS-21340",2014-05-19 00:00:00.000,"No",33987,2014-05-24 00:00:00.000,1,1,4
"CA-2013-167556","OFF-PA-10000466",13.479999542236328,2,0,6.7399997711181641,0.93000000715255737,"JM-15250",2013-03-30 00:00:00.000,"No",34019,2013-04-03 00:00:00.000,1,1,4
"CA-2013-101336","OFF-ST-10000876",24.8799991607666,2,0,6.966400146484375,1.9199999570846558,"CK-12760",2013-11-14 00:00:00.000,"No",34674,2013-11-19 00:00:00.000,1,1,4
"CA-2012-153906","TEC-PH-10001527",85.9000015258789,2,0,2.5769999027252197,8.1800003051757813,"MS-17980",2012-03-16 00:00:00.000,"No",34995,2012-03-20 00:00:00.000,1,1,4
